X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu,geometry,longitude,latitude,arrondissement
650970.1558,6863318.4805,2344,ICONOCLASTES,galerie d'art,,,,,,,,,,5 RUE DEBELLEYME,Commerces de l'art et d'antiquités,POINT (2.3316248619501243 48.86802747549915),2.3316248619501243,48.86802747549915,2.0
653861.632399999,6863320.2728,2345,LA RALENTIE,galerie d'art,,,,,,,,,,21 RUE DU DOCTEUR LERAY,Commerces de l'art et d'antiquités,POINT (2.3710395747190223 48.868257205781624),2.3710395747190223,48.868257205781624,11.0
652707.768799998,6863320.703,2346,WWW.SCHOOL GALLERY.FR,galerie d'art,,,,,,,,,,28 PLACE DES VOSGES,Commerces de l'art et d'antiquités,POINT (2.3553106937454715 48.86817738726167),2.3553106937454715,48.86817738726167,3.0
651313.804799996,6863325.6752,2347,EMERIC HAHN,galerie d'art,,,,,,,,,,10 RUE DES GRAVILLIERS,Commerces de l'art et d'antiquités,POINT (2.336308441481054 48.868118243229034),2.336308441481054,48.868118243229034,2.0
651083.199500002,6863327.3978,2348,BRENTANO'S,librairie,spécialisée,langue étrangère,anglais, , , , , , ,PLACE PAUL PAINLEVÉ & RUE DU SOMMERARD,Commerces du livre,POINT (2.33316477446252 48.868116262034455),2.33316477446252,48.868116262034455,2.0
653909.200800002,6863329.5474,2349,LIBRAIRIE SANS TITRE,librairie,spécialisée,arts, , ,Place des Libraires, , , , ,28 RUE JEAN PIERRE TIMBAUD,Commerces du livre,POINT (2.371686996018526 48.86834401634827),2.371686996018526,48.86834401634827,11.0
652711.439599998,6863330.6681,2350,ALFA LIBRA,galerie d'art,,,,,,,,,,135 RUE SAINT-MARTIN,Commerces de l'art et d'antiquités,POINT (2.355359622997901 48.86826727107509),2.355359622997901,48.86826727107509,3.0
655142.459600002,6863339.4885,2351,LE MONTE EN L'AIR,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,2 RUE DES MOULINS,Commerces du livre,POINT (2.3884971355260904 48.86852048457916),2.3884971355260904,48.86852048457916,20.0
653902.828699999,6863342.8786,2352,GALERIE YOKIKO KAWASE,galerie d'art,,,,,,,,,,57 AVENUE DAUMESNIL,Commerces de l'art et d'antiquités,POINT (2.371598688539191 48.8684634455339),2.371598688539191,48.8684634455339,11.0
651319.071900003,6863343.0688,2353,ANTOINE RAUFFET,galerie d'art,,,,,,,,,,20 RUE DES GRAVILLIERS,Commerces de l'art et d'antiquités,POINT (2.3363782466634127 48.868275058454415),2.3363782466634127,48.868275058454415,2.0
651319.071900003,6863343.0688,2354,MARIE MARGAUX-COHEN,galerie d'art,,,,,,,,,,70 RUE DES GRAVILLIERS,Commerces de l'art et d'antiquités,POINT (2.3363782466634127 48.868275058454415),2.3363782466634127,48.868275058454415,2.0
653147.988799997,6863344.0357,2355,UN LIVRE ET UNE TASSE DE THE,librairie,généraliste,restauration, ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,22 BOULEVARD ARAGO,Commerces du livre,POINT (2.361308952123264 48.86841938609305),2.361308952123264,48.86841938609305,10.0
654515.803000003,6863345.6768,2356,IMANE,librairie,spécialisée,religion,islam, , , , , , ,11 RUE PRIMO LEVI,Commerces du livre,POINT (2.3799541709950005 48.86853218726748),2.3799541709950005,48.86853218726748,11.0
654515.803000003,6863345.6768,2357,SANA,librairie,spécialisée,religion,islam, , , , , , ,56 RUE RAYMOND LOSSERAND,Commerces du livre,POINT (2.3799541709950005 48.86853218726748),2.3799541709950005,48.86853218726748,11.0
653196.992299996,6863346.1191,2358,LIBRAIRIE DE LA REPUBLIQUE,librairie,spécialisée,langue étrangère,chinois, , , , , , ,5 RUE DE PRAGUE,Commerces du livre,POINT (2.361976713901113 48.86844168440122),2.361976713901113,48.86844168440122,10.0
647960.536600001,6863347.285,2359,ROANNE DE SAINT LAURENT,galerie d'art,,,,,,,,,,11 RUE POULBOT,Commerces de l'art et d'antiquités,POINT (2.290596330617055 48.86805038118957),2.290596330617055,48.86805038118957,16.0
650402.827699997,6863348.435,2360,COLETTE DUBOIS,galerie d'art,,,,,,,,,,6 AVENUE TRUDAINE,Commerces de l'art et d'antiquités,POINT (2.323887921329975 48.86825341447556),2.323887921329975,48.86825341447556,8.0
654493.3288,6863348.8632,2361,AL AZHAR,librairie,spécialisée,religion,islam, , , , , , ,22 RUE DUCHEFDELAVILLE,Commerces du livre,POINT (2.3796474714570683 48.86855925458517),2.3796474714570683,48.86855925458517,11.0
651373.652400002,6863351.4811,2362,IVU,galerie d'art,,,,,,,,,,7 RUE DES FILLES DU CALVAIRE,Commerces de l'art et d'antiquités,POINT (2.3371212941347546 48.86835483142397),2.3371212941347546,48.86835483142397,2.0
651466.181999996,6863356.7305,2363,OUTSIDER ART FAIR PARIS,foire d'art,art contemporain,,,,,,,,,35 BOULEVARD DU MONTPARNASSE,Commerces de l'art et d'antiquités,POINT (2.338382007217141 48.86840901709487),2.338382007217141,48.86840901709487,2.0
655257.687399998,6863358.2064,2364,CAROLINE BOUYER,galerie d'art,,,,,,,,,,9 AVENUE MICHEL-RICARD,Commerces de l'art et d'antiquités,POINT (2.390065899912293 48.8686968263336),2.390065899912293,48.8686968263336,20.0
654507.295299999,6863360.6754,2365,LIBRAIRIE QIBLA,librairie,spécialisée,religion,islam, , , , , , ,11 RUE CAMPAGNE PREMIÈRE,Commerces du livre,POINT (2.3798365920179094 48.868666466348145),2.3798365920179094,48.868666466348145,11.0
651325.833700001,6863365.9219,2366,ISABELLE TURQUIN,antiquaire,,,,,,,,,,30 RUE DE LILLE,Commerces de l'art et d'antiquités,POINT (2.336467801836657 48.868481082737986),2.336467801836657,48.868481082737986,2.0
649279.565300003,6863375.908,2367,ARTCURIAL,librairie,spécialisée,arts, , ,Paris Librairies,Place des Libraires, , , ,2 ROND POINT RHIN ET DANUBE,Commerces du livre,POINT (2.308573025427606 48.8684129998488),2.308573025427606,48.8684129998488,8.0
652869.327799998,6863393.851,2368,75 SHOP,galerie d'art,,,,,,,,,,40 RUE RICHARD LENOIR,Commerces de l'art et d'antiquités,POINT (2.3575048607680613 48.86884703563107),2.3575048607680613,48.86884703563107,10.0
656203.031599998,6863394.3085,2369,LAB,galerie d'art,,,,,,,,,,69 RUE DE NEUILLY,Commerces de l'art et d'antiquités,POINT (2.4029487600755415 48.86908646207322),2.4029487600755415,48.86908646207322,20.0
650397.033,6863394.3734,2370,GISMONDI JEAN,antiquaire,,,,,,,,,,8 RUE VALENTIN HAÜY,Commerces de l'art et d'antiquités,POINT (2.323803568794226 48.868666082309176),2.323803568794226,48.868666082309176,8.0
651998.594700001,6863394.6473,2371,STUDIOLO,galerie d'art,,,,,,,,,,5 RUE DU GRENIER SAINT-LAZARE,Commerces de l'art et d'antiquités,POINT (2.345635294359101 48.868789893429096),2.345635294359101,48.868789893429096,2.0
648900.930399999,6863397.5352,2372,FINE ART 21,galerie d'art,,,,,,,,,,7 RUE CHAPTAL,Commerces de l'art et d'antiquités,POINT (2.303409095600132 48.868577560748626),2.303409095600132,48.868577560748626,8.0
654448.4234,6863403.0795,2373,RUE DE L'ECHIQUIER,librairie,maison d'édition, , , ,Lalibrairie.com, , , , ,85 RUE DE GERGOVIE,Commerces du livre,POINT (2.379029528636267 48.86904363844497),2.379029528636267,48.86904363844497,11.0
649299.593099996,6863405.1801,2374,ARTCURIAL,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.3088425401130968 48.8686778138441),2.3088425401130968,48.8686778138441,8.0
651245.012500003,6863416.9908,2375,BOOK OFF QUATRE SEPTEMBRE,librairie,spécialisée,livres d'occasion, , , , , , , ,27 RUE GAY-LUSSAC,Commerces du livre,POINT (2.335360229631925 48.868934222060915),2.335360229631925,48.868934222060915,2.0
658909.1888,6863420.3525,2376,L'ARCHE,librairie,maison d'édition, , , , , , , , ,21-31 RUE DE PARIS,Commerces du livre,POINT (2.4398359755809143 48.86949900138041),2.4398359755809143,48.86949900138041,
656150.094499998,6863431.7491,2377,A TOUT LIRE,librairie,généraliste, , , , , , , , ,8 RUE D'ALGER,Commerces du livre,POINT (2.402223271977313 48.86941955792631),2.402223271977313,48.86941955792631,20.0
650367.190200001,6863435.1687,2378,PERMONITY ET EXCLUSIVELY,galerie d'art,,,,,,,,,,35 RUE DE TRÉVISE,Commerces de l'art et d'antiquités,POINT (2.323392001166214 48.8690306465091),2.323392001166214,48.8690306465091,8.0
651655.386500001,6863447.4943,2379,SALON DU DESSIN DE PARIS,foire d'art,art graphique,,,,,,,,,27 RUE DU PETIT MUSC,Commerces de l'art et d'antiquités,POINT (2.340950815659925 48.86923946652422),2.340950815659925,48.86923946652422,2.0
652579.649899997,6863447.5075,2380,GIBERT JEUNE,librairie,généraliste, , , , , , , , ,10 RUE TOURNEFORT,Commerces du livre,POINT (2.353550099055838 48.8693082962492),2.353550099055838,48.8693082962492,2.0
653712.886100002,6863449.9892,2381,LES NOUVEAUTES,librairie,généraliste, , , ,Paris Librairies,Place des Libraires,Librest,Lalibrairie.com, ,8 RUE RIESENER,Commerces du livre,POINT (2.3689978137747625 48.86941305016335),2.3689978137747625,48.86941305016335,10.0
