X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu
650270.458999999,6864547.4928,2777,LA FLUTE DE PAN,librairie,spécialisée,musicale, , , , , , , ,88 RUE OBERKAMPF,Commerces du livre
645165.984200001,6864549.3134,2778,LA REINE ANTIQUITES,antiquaire,,,,,,,,,,QUAI DE CONTI,Commerces de l'art et d'antiquités
651479.963200003,6864556.7064,2779,PERE TAUGUY,galerie d'art,,,,,,,,,,116 RUE DU FAUBOURG POISSONNIÈRE,Commerces de l'art et d'antiquités
650265.329899997,6864562.3889,2780,LIBRAIRIE MONNIER,librairie,spécialisée,musicale, , ,Paris Librairies,Place des Libraires, , , ,91 RUE JEAN-PIERRE TIMBAUD,Commerces du livre
652293.318300001,6864573.3337,2781,DESION BY KILLIAN,galerie d'art,,,,,,,,,,7 RUE DE LA MAIN D'OR,Commerces de l'art et d'antiquités
652346.2918,6864582.8432,2782,U.P.P.,galerie d'art,,,,,,,,,,4 PASSAGE JOSSET,Commerces de l'art et d'antiquités
652314.280000001,6864588.9775,2783,FANTASMAK LIBRAIRIE,librairie,spécialisée,bande dessinée, , , , , , , ,56 AVENUE DU DOCTEUR ARNOLD NETTER,Commerces du livre
650248.150700003,6864589.8053,2784,LA FLUTE DE PAN,librairie,spécialisée,musicale, , , , , , , ,99 RUE DE CHARONNE,Commerces du livre
652152.651500002,6864596.839,2785,TEMA GALERIE,galerie d'art,,,,,,,,,,35 RUE DU FAUBOURG SAINT-DENIS,Commerces de l'art et d'antiquités
650543.9582,6864597.6428,2786,LE COMPTOIR DU DESSIN,galerie d'art,,,,,,,,,,8 RUE BOCHART DE SARON,Commerces de l'art et d'antiquités
654233.545199998,6864613.4509,2787,KOL YEHOUDA,librairie,spécialisée,religion,judaïsme, , , , , , ,1-15 RUE ERNEST DELOISON,Commerces du livre
652009.068099998,6864628.7286,2788,LIBELLULE ET COCCINELLE,librairie,spécialisée,jeunesse, , ,Paris Librairies,Place des Libraires, , , ,203B AVENUE DAUMESNIL,Commerces du livre
661397.508199997,6864637.3264,2789,COMME UNE IMAGE,galerie d'art,,,,,,,,,,18-24 AVENUE DES CHAMPS-ÉLYSÉES,Commerces de l'art et d'antiquités
641191.975699998,6864640.6849,2790,MH BOSETTI ANTIQUITES,antiquaire,,,,,,,,,,QUAI DE CONTI,Commerces de l'art et d'antiquités
653405.259800002,6864645.3659,2791,LITOTE EN TETE,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,32 RUE VERGNIAUD,Commerces du livre
657308.877300002,6864661.6859,2792,FOLIES D'ENCRE LES LILAS,librairie,généraliste, , , ,Paris Librairies,Librairies 93,Place des Libraires, , ,62 AVENUE GUY MÔQUET,Commerces du livre
653240.197099999,6864670.2099,2793,L'INVIT'A LIRE,librairie,généraliste, , , , , , , , ,24 RUE LE BRUN,Commerces du livre
644272.115900002,6864671.0529,2794,LA LIBRAIRIE DU THEATRE,librairie,maison de la presse, , , , , , , , ,6 RUE MAURICE PAILLARD,Commerces du livre
651402.3847,6864675.706,2795,ATELIER 21,galerie d'art,,,,,,,,,,18 RUE CAMILLE DESMOULINS,Commerces de l'art et d'antiquités
644303.115800001,6864683.5429,2796,L'ATELIER DE GREGOIRE,galerie d'art,,,,,,,,,,PLACE DAUPHINE & SQUARE DE LA PLACE DAUPHINE,Commerces de l'art et d'antiquités
650776.592699997,6864684.8006,2797,LIBRAIRIE JEAN CALVIN,librairie,spécialisée,religion,christianisme, ,Paris Librairies,Place des Libraires, , , ,88 RUE DU FAUBOURG SAINT-ANTOINE,Commerces du livre
650960.023500003,6864691.8259,2798,COULEURS ET BLANCS,galerie d'art,,,,,,,,,,4-46 PASSAGE JOUFFROY,Commerces de l'art et d'antiquités
640199.032799996,6864698.8935,2799,ANGELS ART GALLERY,galerie d'art,,,,,,,,,,9 RUE DROUOT,Commerces de l'art et d'antiquités
647157.384199999,6864700.383,2800,GALERIE ARSINOE,galerie d'art,,,,,,,,,,5 RUE CURIAL,Commerces de l'art et d'antiquités
644424.369199999,6864700.5024,2801,GALERIE ATELIER VITRAIL GHALI,galerie d'art,atelier-galerie,,,,,,,,,5 RUE HONORÉ CHEVALIER,Commerces de l'art et d'antiquités
648099.105599999,6864705.1152,2802,LE TEMPS QUI PASSE,antiquaire,,,,,,,,,,3 ALLÉE DE L'ALMA,Commerces de l'art et d'antiquités
651805.838200003,6864711.9509,2803,ALEXANDRA CARRON,galerie d'art,,,,,,,,,,11 RUE DE BELZUNCE,Commerces de l'art et d'antiquités
651166.460199997,6864712.0277,2804,GALERIE CHAPTAL,galerie d'art,,,,,,,,,,10 RUE DU BUISSON SAINT-LOUIS,Commerces de l'art et d'antiquités
651166.460199997,6864712.0277,2805,HTTP://RAIDDESCADOLES.IKINOA.COM/,galerie d'art,,,,,,,,,,12 RUE DU BUISSON SAINT-LOUIS,Commerces de l'art et d'antiquités
650013.693300001,6864718.1019,2806,LIBRAIRIE ET DOCUMENTATION AUTO MOTO,librairie,spécialisée,technique,automoto, , , , , , ,58 RUE AMELOT,Commerces du livre
651499.858499996,6864720.4601,2807,COHLE GALLERY,galerie d'art,,,,,,,,,,18 RUE GODEFROY CAVAIGNAC,Commerces de l'art et d'antiquités
651485.413800001,6864724.6825,2808,ARCHI-NOIRE,antiquaire,,,,,,,,,,78 AVENUE DE SUFFREN,Commerces de l'art et d'antiquités
647967.211400002,6864725.2256,2809,DOMINIQUE ET CAETERA,galerie d'art,,,,,,,,,,,Commerces de l'art et d'antiquités
651605.596799999,6864727.9843,2810,LIBRAIRIE L'ATELIER 9,librairie,généraliste, , , ,Paris Librairies,Place des Libraires, , , ,1 PASSAGE MARIE ROGISSART,Commerces du livre
649628.660400003,6864728.3538,2811,VIVALDI ANTIQUITE,antiquaire,,,,,,,,,,56 AVENUE DE LA MOTTE-PICQUET,Commerces de l'art et d'antiquités
649797.298199996,6864740.1769,2812,SAINT PETERSBOURG,antiquaire,,,,,,,,,,78 AVENUE DE SUFFREN,Commerces de l'art et d'antiquités
651202.506899998,6864745.3,2813,MARJO DU FAUBOURG,galerie d'art,,,,,,,,,,15 RUE DE LA FOLIE-MÉRICOURT,Commerces de l'art et d'antiquités
652379.8116,6864746.1521,2814,NORDEST,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires,Librest,Lalibrairie.com, ,47 RUE AUGUSTE LANÇON,Commerces du livre
664966.683200002,6864749.6299,2815,ESTIM EPOQUE,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
650655.090000004,6864757.6825,2816,LE PASSE COMPOSE,librairie,spécialisée,livres d'occasion, , , , , , , ,116 RUE JEAN-PIERRE TIMBAUD,Commerces du livre
651066.7522,6864761.9507,2817,GALERIE LA NOUVELLE ATHENES,galerie d'art,,,,,,,,,,12 RUE DU BUISSON SAINT-LOUIS,Commerces de l'art et d'antiquités
644145.815300003,6864762.5659,2818,L'AMANDIER,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires,Libraires en Seine, , , ,1 RUE PIERRE GUIGNOIS,Commerces du livre
648752.763999999,6864765.078,2819,ANTIQUITES DE COURCELLES,antiquaire,,,,,,,,,,23 RUE ROBERT GIRAUDINEAU,Commerces de l'art et d'antiquités
650992.774400003,6864772.3083,2820,GALERIE CERCA TROVA,galerie d'art,,,,,,,,,,RUE DE CHABROL & CITÉ D'HAUTEVILLE,Commerces de l'art et d'antiquités
651737.646799996,6864775.4466,2821,*** NON RENSEIGNE ***,antiquaire,,,,,,,,,,41 RUE POUSSIN,Commerces de l'art et d'antiquités
651016.3785,6864779.444,2822,GALERIE ARTKRAFT,galerie d'art,,,,,,,,,,12 RUE DU BUISSON SAINT-LOUIS,Commerces de l'art et d'antiquités
648233.280000001,6864782.0411,2823,GALA,antiquaire,,,,,,,,,,5 RUE LEJEMPTEL,Commerces de l'art et d'antiquités
652248.570799999,6864782.7553,2824,GALERIE ALLEN,galerie d'art,,,,,,,,,,6 RUE PIERRE DUPONT,Commerces de l'art et d'antiquités
665000.773900002,6864783.8962,2825,LIBRAIRIE DU MARCHE,librairie,maison de la presse, , , , , , , , ,47 AVENUE GUY MÔQUET,Commerces du livre
650972.279700004,6864785.5945,2826,MU,galerie d'art,,,,,,,,,,49 RUE ALBERT THOMAS,Commerces de l'art et d'antiquités
647100.034000002,6864805.44,2827,ADER NEUILLY,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
654060.173699997,6864808.4944,2828,LES BUVEURS D'ENCRE,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,1100 AEROPORT CHARLES DE GAULLE,Commerces du livre
651272.591399997,6864813.4172,2829,LE GUILLEMET,librairie,spécialisée,jeunesse, , ,Paris Librairies,Place des Libraires, , , ,AVENUE LÉON GAMBETTA,Commerces du livre
